dye_name	hex	eso_achievement	quest_edid	quest_name	confidence	reasoning
Falinesti Green	1A6C35	Matchmaker	RelationshipMarriage	The Bonds of Matrimony	high	matchmaking, and Skyrim's marriage quest is the only one about it
Hlaalu Gold	99774B	Plague Eater	DA13	The Only Cure	high	Peryite is the plague prince and this is his quest
Wayrest Royal Purple	3B3472	Rude Awakening	DA14	A Night To Remember	high	the rudest awakening in Skyrim, and it is Sanguine's
Alik'r Lapis	32486D	Consecrated Ground	MS08	In My Time Of Need	high	the Alik'r by name, and it is Skyrim's only Alik'r quest
Windhelm Steel	585858	Blood Feud	MS11	Blood on the Ice	high	blood, and it is Windhelm's own murder story
Doomcrag Verdigris	34726D	Curse Breaker	DA05	Ill Met By Moonlight	high	Hircine's curse, broken or taken
Nightshade Purple	441544	Chainbreaker	MS02	No One Escapes Cidhna Mine	high	breaking out, literally
Ashland Gray	947E75	Hearts of Darkness	DLC2MQ02	The Temple of Miraak	high	ash, and Miraak is the darkness at Solstheim's heart
Fire Drake's Flame	931818	Pit Hero	C01	Proving Honor	high	the nearest Skyrim has to a pit, and it is a proving
Starlight Gold	B1955E	Dawn of a Champion	DA09	The Break of Dawn	high	dawn by name; Meridia's quest makes a champion of you
Red Diamond Red	721C1C	The Valley of Blades	MQ203	Alduin's Wall	high	the Blades, and the Red Diamond is the Septim sigil they served
Thalmor Black	2B2B2B	Iconoclast	MQ201	Diplomatic Immunity	high	the Thalmor Embassy, the only place you face them wholesale
Dusky Bronze	5E3D2A	Horror of Horrors	DA16	Waking Nightmare	high	Vaermina deals in horrors
Artifact-Hunter Amber	330507	Retribution Takes Time	DA04	Discerning the Transmundane	high	the longest artifact hunt in the game, for the Oghma Infinium
Darkstorm Emerald	006042	Savior of the Reach	MS01	The Forsworn Conspiracy	high	the Reach by name
Blood Gold	DDA3A0	Queenmaker	MS06	The Wolf Queen Awakened	high	the only queen Skyrim lets you make or unmake
Murder Mahogany	996444	Kill a Grand Overlord	DB11	Hail Sithis!	high	the Brotherhood's last and highest target
Daedric Red	310E0E	General Executioner	DA07	Pieces of the Past	high	Mehrunes' Razor is the executioner's blade
Mad God's Berry	A383D8	Madness Catcher	DA15	The Mind of Madness	high	Sheogorath, and the quest is literally inside a madman
Coldharbour Ash Black	231F1D	The God of Schemes	MQ305	Dragonslayer	medium	ESO's main story finale, so Skyrim's own finale rather than a Molag Bal quest
Riften Copper	996044	Shattered Remnants	TG00	A Chance Arrangement	medium	Riften, and the Guild is what remains of a shattered one
Wyrd Tree Green	605D34	Ritual Destruction	DA02	Boethiah's Calling	medium	a ritual, and destroying what you came with
Deceit Orange	995B3D	Easy as Pie	DB05	Bound Until Death	medium	a disguise and a wedding; deceit is the whole job
Vehk's Mystic Blue	116DA8	Champion of Vivec	DLC2MQ06	At the Summit of Apocrypha	medium	Vivec is Morrowind, and Solstheim is as close as Skyrim reaches
Blackreach Blue	1C54B6	Savior of Western Skyrim	MQ206	Alduin's Bane	medium	the quest the Blackreach elder scroll is carried into
Tainted Turquoise	13376B	Imperial Transgressions	DA11	The Taste of Death	medium	Namira's quest is Skyrim's flatest transgression
Roister's Cerulean	0A4D38	Tales of Travel	DA03	A Daedra's Best Friend	medium	the longest walk in the game, with Barbas talking the whole way
Telvanni Walnut	4B2113	Hero of Necrom	DLC2MQ04	The Path of Knowledge	medium	Telvanni; Solstheim's Dunmer are their kin
Welkynd Blue	2FBFB1	Spirit of the Bosmer	MG02	Under Saarthal	low	an elven ruin and a spirit; the Bosmer half does not carry
Hist Green	5D9926	Egg and Root	MS10	Rise in the East	low	Windhelm's Argonians, who are the nearest Hist connection
Antique Brass	BA7E2E	The Sublime Protector	MS09	Missing In Action	low	protecting someone; otherwise arbitrary
Senche-Tiger Orange	994F2D	Hallowed Moons	DA01	The Black Star	low	Azura and her star; Khajiit moons have no Skyrim quest
Varla White	CBB6AC	A Rule Unquestioned	MS05	Tending the Flames	low	a king and a poem; arbitrary
Evermore Gold	BF9660	End of Empire	MQ304	Sovngarde	low	an ending, and no Skyrim quest is about the Empire falling
Arc Master Moss	59590F	Arcing Onward	MS07	Lights Out!	low	free pick
Liar's Linen	ABA19B	I Like M'aiq	MS13	The Golden Claw	low	M'aiq is in Skyrim and has no quest, so this is an errand about a lie
Anequina Sunrise	FF7C0E	Savior of Elsweyr	DA06	The Cursed Tribe	low	free pick; Elsweyr has no Skyrim presence
Shrike Blue	5785EB	Savior of Summerset	MS04	Unfathomable Depths	low	free pick
Chivalric Silver	4D565D	Savior of High Isle	MS14	Laid to Rest	low	free pick
Marshnettle Titian	DD5918	Savior of Blackwood	MS12	The White Phial	low	free pick
King Orgnum's Wine	693867	Savior of Galen	DLC2MQ03	The Fate of the Skaal	low	free pick
Sunforge Patina	DAF671	Hero of Fargrave	DLC2MQ05	The Gardener of Men	low	free pick
Shell-Tide Green	3B601C	Hero of Western Solstice	DLC2MQ01	Dragonborn	low	free pick; Solstice is not Solstheim but the name rhymes and nothing else fits
Soulseeker Blue	232B4B	Hero of Eastern Solstice	DLC1VQ04	Chasing Echoes	low	free pick
Pellitine Coral	AC3342	Return of the Dragonguard	MQ202	A Cornered Rat	low	finding Esbern is the Dragonguard returning; the only Dragonguard-shaped quest in the game
Transliminal Violet	41387C	Imperial Lightbringer	DLC1VQ05	Beyond Death	low	free pick
West Weald Autumnal Orange	E69E18	Hero of the Gold Road	MS03	Promises to Keep	low	free pick
Eyevea Blue	1C5B72	Arch-Mage	MG08	The Eye of Magnus	high	the achievement IS Arch-Mage, and MG08 is the quest that makes you one
