eso_name	display_name	hex	confidence	reasoning
Rank 1 Materials	Iron Grey	404C58	high	Skyrim's smithing ladder, read off the hex not ESO's tier order
Rank 2 Materials	Steel Grey	676767	high	neutral grey, the plainest metal in the set
Rank 3 Materials	Orcish Olive	4C502F	high	dark olive, matches orcish plate
Rank 4 Materials	Dwarven Bronze	76572B	high	bronze, the one unmistakable Skyrim metal colour
Rank 5 Materials	Quicksilver Blue	5A676D	medium	cool steel blue; quicksilver is a Skyrim ingot
Rank 6 Materials	Tanned Hide	6F573B	high	mid brown, and ESO's ladder alternates metal with leather
Rank 7 Materials	Boiled Leather	4B321E	high	dark brown, the darker of the two leather rungs
Rank 8 Materials	Malachite Green	3C554F	high	dark teal; Skyrim glass armour IS malachite, so this is lore-exact
Rank 9 Materials	Ebony Black	270915	high	near black with a plum cast, which is how ebony reads
Rank 10 Materials	Daedric Ember	630E0B	high	top of the ladder; NOT "Daedric Red", which the pack already uses for the darker 310E0E
Covenant Blue	Windhelm Blue	222B54	medium	hold heraldry; check the banner colours by eye
Covenant Conqueror Blue	Eastmarch Night	122546	medium	hold heraldry
Covenant Fisher Blue	Winterhold Blue	4373BF	medium	hold heraldry
Covenant Vanquisher Violet	Riften Amethyst	5D3472	medium	hold heraldry
Dominion Yellow	Thalmor Gold	805A27	high	the Thalmor ARE the Aldmeri Dominion in Skyrim, so this one translates directly
Dominion Conqueror Yellow	Markarth Brass	4B4813	medium	hold heraldry
Dominion Fisher Yellow	Whiterun Wheat	BFB52F	medium	hold heraldry
Dominion Vanquisher Green	Falkreath Green	34724D	medium	hold heraldry, and Falkreath is the forest hold
Pact Blood Red	Reachman Red	632222	medium	blood red, war paint
Pact Conqueror Red	Assassin's Crimson	4B1313	medium	very dark red
Pact Fisher Red	Rift Autumn	BF5656	medium	the Rift is the autumn hold
Pact Vanquisher Brown	Hjaalmarch Clay	72311C	low	red brown; the weakest of the twelve
Grand Overlord's Brass	Legion Brass	966E3C	high	brass, and the Legion is Skyrim's answer to a rank ladder
Grand Warlord's Violet	Nightfall Violet	232345	medium	very dark blue violet
Overlord's Purple	Vaermina's Purple	2D072D	medium	deep purple, and Vaermina is the nightmare prince
Palatine's White	Bone White	D1BCB0	high	warm off white
Warlord's Red	Chieftain's Red	56231F	high	Orc strongholds have chieftains, which is the nearest real rank
Dragonknights' Blood	Dragonblood Brown	443331	high	keeps the dragon, drops the ESO class
Warden's Moss Green	Hunter's Moss	46503D	high	keeps the meaning, drops the ESO class
Soul Shriven Gray	Soul Cairn Grey	665E5B	high	the Soul Cairn is in Dawnguard, so the concept survives the move
Soul Shriven Pale	Soul Cairn Pale	D9C4B7	high	same
Maormer-Eyes Gray	Slaughterfish Grey	222A2B	medium	Maormer are obscure outside ESO
Scaled Court Brown	Dragon Cult Brown	A17F7C	high	the Scaled Court worship dragons; Skyrim has the Dragon Cult
Undaunted Bronze	Delver's Bronze	80543A	high	keeps what the Undaunted actually are, which is dungeon delvers
Craglorn Crimson	Reach Crimson	481219	medium	Craglorn has no Skyrim analogue; the Reach is the nearest harsh country
Eyevea Blue	Arcanaeum Blue	1C5B72	high	Eyevea is the Mages Guild's island; the Arcanaeum is the College's library
Khenarthi Red	Khenarthi Red	723434	KEEP	Khenarthi is the Khajiiti name for Kynareth, so this is shared lore
10-Year Anniversary Ivory	Aged Ivory	E6DFCF	high	drop the birthday, keep the colour
10-Year Anniversary Ebon Leather	Ebon Leather	242424	high	drop the prefix, the rest already fits
10-Year Anniversary Gold Leaf	Gold Leaf	99803D	high	drop the prefix
New Life Cerulean	Frostfall Cerulean	7C8EC6	high	New Life is an ESO event; Frostfall is a month on Skyrim's own calendar
Crown Gold	Jarl's Gold	987908	medium	Crown is the ESO store currency
