name	display_name	hue	rarity	hex	eso_achievement
Faded Dwemer Scholar Red		Red	Common	BF827C	Dwarven Secrets Gatherer
Forge Ember Red		Red	Common	BF7C7C	Apprentice Deconstructor
Aspect Red		Red	Common	8D6563	Aspect
Oblivion Vermilion		Red	Common	996B6B	Oblivion Shard Gatherer
Mudcrab Maroon		Red	Common	724F54	Chitin Accumulator
Fighters Guild Red		Red	Common	71524F	Associate of the Fighters Guild
Dragonknights' Blood	Dragonblood Brown	Red	Common	443331	Grand Dragonknight Slayer
Quester Yellow		Yellow	Common	BFBA85	Quester
Master Gold		Yellow	Common	BFA585	Level 50 Hero
Templars' Last Dawn		Yellow	Common	948067	Grand Templar Slayer
Automaton Bronze		Yellow	Common	494034	Dwarven Construct Slayer
Restorative Gold		Yellow	Common	72704F	Greater Dungeon Healer
Dragonthorn Yellow		Yellow	Common	918D65	Apprentice Crafting Harvester
Essence Green		Green	Common	A1BF85	Essence
Explorer Green		Green	Common	8EBF9E	Explorer
Spriggan Green		Green	Common	679379	Nature Collector
Battaglir Green		Green	Common	6B9979	Recipe Card
Jute Green		Green	Common	4F725E	Expert Crafting Harvester
Corporal's Green		Green	Common	4B4B36	Alliance War Corporal
Gangrene Green		Green	Common	414B36	Undead Hoarder
Hunter Green		Green	Common	364B3D	Nature Slayer
Woodsman Green		Green	Common	2D4034	Certified Jack-of-All-Trades
Warden's Moss Green	Hunter's Moss	Green	Common	46503D	Grand Warden Slayer
Guardian Blue		Blue	Common	36424B	Greater Dungeon Blocker
Dungeon Victor Turquoise		Blue	Common	476663	Dungeon Annihilator
Apprentice Blue		Blue	Common	4F6472	Level 20 Hero
Mages Guild Blue		Blue	Common	4F6972	Student of the Mages Guild
Motif Pattern Blue		Blue	Common	6B8C99	Alliance Style Master
Potency Blue		Blue	Common	706B99	Potency
Bugloss Blue		Blue	Common	4F5D72	Apprentice of Refinement
Nightblades' Indigo		Blue	Common	363D4B	Grand Nightblade Slayer
Dolmen Deep Blue		Blue	Common	38364B	Anchor Destroyer
Spectral Blue		Blue	Common	B5AFEF	Grand Necromancer Slayer
Sorcerers'-Bane Violet		Purple	Common	AF8EBF	Grand Sorcerer Slayer
Soul Gem Purple		Purple	Common	674F72	Chasing Shadows
Amethyst Violet		Purple	Common	544F72	Learn a Trait
Hyacinth Pink		Purple	Common	BF859C	Journeyman Crafting Harvester
Adept Purple		Purple	Common	724F72	Level 30 Hero
Beast Collector Violet		Purple	Common	44364B	Tamriel Beast Collector
Shein Violet		Purple	Common	4A363F	Recipe Book
Captain's Violet		Purple	Common	483434	Alliance War Captain
Yokudan Cod Tan		Brown	Common	BF9C85	Craglorn Angler
Novice Tan		Brown	Common	B18E7D	Level 10 Hero
Raw Hide Tan		Brown	Common	BF9385	Master Crafting Harvester
Centurion Metal		Brown	Common	99796B	Alliance War Centurion
Dried Blood Brown		Brown	Common	997C6B	Recruit of the Undaunted
Heartlands Umber		Brown	Common	8F6D64	Support the Fight
Book Cover Brown		Brown	Common	725D4F	Racial Style Learned
Trolls Fur Brown		Brown	Common	665147	Monstrous Component Collector
Bandit Brown		Brown	Common	72594F	Humanoid Slayer
Wolf's Fur Brown		Brown	Common	4B3B36	Lycanthropy
Boss Butcher Brown		Brown	Common	4B3D36	Dungeon Lord
Birch White		Grey	Common	BFBFBF	Expert of Refinement
Volunteer's Iron		Grey	Common	B1B1B1	Alliance War Volunteer
Boethiah Gray		Grey	Common	666666	Daedra Slayer
Obsidian Black		Grey	Common	474747	Expert Deconstructor
Mort Flesh White		Grey	Common	ACBCBF	Undead Slayer
Expert Gray		Grey	Common	A1AFB1	Level 40 Hero
Tombstone Gray		Grey	Common	5B6466	Dungeon Damage Dispenser
Noxophilic Black		Grey	Common	3A3E40	Vampirism
Elemental White		Grey	Common	BFB1AC	Atronach Element Collector
Legionary's Lead		Grey	Common	B1A7A1	Alliance War Legionary
Soul Shriven Gray	Soul Cairn Grey	Grey	Common	665E5B	Soul Shriven in Coldharbour
Sergeant's Charcoal		Grey	Common	403B3A	Alliance War Sergeant
Recipe Reaper Red		Red	Uncommon	99444F	Recipe Compendium
Khenarthi Red		Red	Uncommon	723434	Khenarthi's Roost Pathfinder
