name	hex	rarity	family	gate_kind	gate_ref	gate_min	hex2	mode	gloss	sheen	flake	confidence	reasoning
Alchemist's Jade	2FA37A	Uncommon	achievement	stat	Potions Mixed	100	7FE8C0	nacre	210	C0FFE0		low	Free pick: a bright apothecary green for the alchemy bench; the counter is unbounded and ingredients respawn, so 100 is well inside what an Alchemy-levelling character mixes.
Auriel's Dawn	E8A86B	Rare	achievement	stat	Dawnguard Quests Completed	8	FFE8B0	nacre	235	FFFFE8	180	high	Auriel's Bow is the Dawnguard line's artifact and Touching the Sky its high point, so the pairing is stated; either faction's counted main line runs about 10 quests plus Dawnguard side quests, so 8 clears the line on either path.
Beast Eye Gold	C9A81A	Uncommon	achievement	stat	Werewolf Transformations	15						medium	Strong read: the werewolf's eyes burn this mustard gold in the transformation; the counter is unbounded at once per day and unlimited with the Ring of Hircine, so 15 is a couple of in-game weeks for a beastblood character.
Bunny Slayer Blush	EE7A9E	Common	achievement	stat	Bunnies Slaughtered	15						low	Free pick and a joke the player will grin at; rabbits respawn everywhere so the counter is unbounded, and 15 is what an archer racks up on the road to Whiterun without trying.
Clear Skies Blue	6FB8E8	Rare	achievement	stat	Shouts Mastered	10	D8F0FF	nacre	220	FFFFFF		high	Clear Skies is a named shout that visibly opens the weather to bright blue, so the pairing is stated; 20 shouts exist in the base game and 27 with the DLCs, and dragon souls to unlock them are unlimited, so 10 is under half the ceiling.
Crimson Nirnroot	B01048	Uncommon	achievement	stat	Nirnroots Found	10						high	Crimson Nirnroot is a real Skyrim ingredient, so the pairing is stated; the counter is fed by 50+ ordinary nirnroots above ground and 30 crimson ones in Blackreach, so 10 is a small fraction of the ceiling.
Cutpurse Plum	7A1B62	Uncommon	achievement	stat	Pockets Picked	25						low	Free pick that reads well for a cutpurse; the counter is unbounded because every NPC in every hold can be picked, so 25 is a modest evening's work for a thief.
Dragonsoul Amber	F5B033	Rare	achievement	stat	Dragon Souls Collected	20	FFC820	iridescent	235	FFE890	200	medium	Strong read: soul absorption reads as a warm gold-orange wash on screen; dragon spawns never stop after the main quest so the counter is effectively unbounded, and the main quest alone yields well over ten, making 20 comfortable.
Enchanter's Violet	A82FD0	Uncommon	achievement	stat	Magic Items Made	50						medium	Strong read: the arcane enchanter's effect burns this orchid-violet while an item is being enchanted; the counter is unbounded since soul gems and blank gear are farmable, so 50 is routine for anyone levelling Enchanting.
Eye of Magnus Violet	6C5BD0	Rare	achievement	stat	College of Winterhold Quests Completed	7	B08FFF	iridescent	230	E0D0FF	170	high	The Eye of Magnus is the College questline's finale, so the pairing is stated; the counted main line is 8 quests (First Lessons through The Eye of Magnus) plus College side quests, so 7 sits one under the guaranteed ceiling.
Guardian Stone Glow	4FDCCF	Common	achievement	stat	Standing Stones Found	8						high	The first three stones the player meets are literally the Guardian Stones and they glow this cold turquoise when activated, so the pairing is stated; Skyrim holds 13 standing stones, so 8 leaves five spare.
Hearthfire Ember	EE8F4A	Common	achievement	stat	Houses Owned	1						high	Stat string copied byte for byte from stat_index.json; buying any house ticks it once, so it is the cleanest gate for the house milestone and the ember is the hearth.
Honed Edge	8DBCD2	Uncommon	achievement	stat	Weapons Improved	50						medium	Strong read: the pale blue sheen of a freshly ground edge; the grindstone counter is unbounded because every weapon can be improved at every tier, so 50 is comfortable for a smith.
Ill-Gotten Emerald	0E7A55	Uncommon	achievement	stat	Items Stolen	50						low	Free pick: stolen gemstones for the theft counter; the counter is unbounded and rises on every red-flagged item lifted, so 50 is passed almost incidentally by anyone who steals at all.
Jagged Crown Ivory	E3CE7E	Uncommon	achievement	stat	Civil War Quests Completed	5	E8DCB0	nacre	225	FFF8D0		high	The Jagged Crown is a Civil War quest object fought over by both sides, so the pairing is stated; this is the counter that already bit the project, and a character who commits to one side tops out around 8, so 5 sits well under the single-side ceiling and never needs both factions.
Oblivion Bloom	7FBF1F	Uncommon	achievement	stat	Daedric Quests Completed	5						low	Free pick that reads well: sickly Daedric green for the early shrine-runner, on the same counter whose ceiling is 15, so 5 is a third of the way and safe.
Oblivion Gate Ember	B34A0A	Rare	achievement	stat	Daedric Quests Completed	10	FF8000	iridescent	235	FFC060	210	medium	measured: 16 quests carry the Daedric type, so 12 left only four spare against a playthrough where two or three are closed off; 10 of 16 still reads as a Prince-hunter. Strong read rather than stated: the ember of an Oblivion gate is series iconography, not a Skyrim asset; 15 Daedric quests are completable in a single playthrough (the Oblivion Walker achievement wants 15 artifacts), so 12 leaves three spare.
Raven Rock Rust	8A5F4C	Uncommon	achievement	stat	Solstheim Locations Discovered	20						medium	Strong read: Raven Rock is Solstheim's only town and its ash-stained Dunmer stonework is the island's signature; Solstheim carries roughly 40 map markers, so 20 is half and a player who works the island passes it easily.
Saga-Told Sapphire	2E3AA8	Rare	achievement	stat	Questlines Completed	3	7FB8FF	nacre	235	D0E8FF	190	low	Free pick: a saga colour for the player who finished several lines; the counter can reach at least 8 (main quest, Companions, College, Thieves Guild, Dark Brotherhood, Civil War, Dawnguard, Dragonborn), so 3 is deliberately well under a ceiling I cannot measure directly.
Sanguinare Pallor	C2CFD6	Uncommon	achievement	stat	Days as a Vampire	7						high	Stat string copied byte for byte from stat_index.json; a week carrying Sanguinare Vampiris is a thing the character did, and the corpse-pale grey is that condition.
Shadowmark Grey	0E2226	Rare	achievement	stat	Thieves' Guild Quests Completed	10	5A7A80	nacre	215	A0C0C8		high	The Nightingales are the Guild's inner circle from Trinity Restored onward, so the pairing is stated; the counted main line is 11 quests and radiant Guild jobs plus the four city-influence lines are effectively unbounded, so 10 sits under even the no-radiant ceiling.
Skaal Hide Blue	35597A	Rare	achievement	stat	Dragonborn Quests Completed	4	A0D8E8	nacre	200	D8F0F8		high	measured: only 7 quests in the masters carry the Dragonborn type at all, so 5 was 5 of 7 and one uncounted quest in the chain would have made it unreachable; 4 still means well into Solstheim's story. The Skaal village is the Dragonborn questline's hub and its people are the ones Miraak enslaves, so the pairing is stated; the counted main line is 6 quests (DLC2MQ01-MQ06) and roughly fifteen Solstheim side quests also count, so 5 is passed before the line even ends.
Skeleton Key Patina	0F3B3A	Uncommon	achievement	stat	Locks Picked	50						medium	Strong read: the Skeleton Key is the game's unbreakable lockpick and this is the aged-metal green of old lock furniture; locks are unbounded and number in the hundreds across the map, so 50 is a comfortable pass.
Skyforge Steel	5F7383	Rare	achievement	stat	The Companions Quests Completed	6	E0E8F0	nacre	225	FFFFFF		high	The Skyforge is the Companions' own forge above Jorrvaskr, so the pairing is stated by the game; the counted main line runs Take Up Arms through Glory of the Dead plus Purity (7 quests) and radiant Companions jobs push it higher still, so 6 lands on finishing the line with headroom left.
Soulsnare Indigo	5D4BA8	Uncommon	achievement	stat	Souls Trapped	50						medium	Strong read: filled soul gems glow this indigo-violet on the shelf; the counter is unbounded because soul gems are refillable and enemies endless, so 50 is a normal enchanter's tally.
Void Shroud	33253D	Rare	achievement	stat	The Dark Brotherhood Quests Completed	10	6A4F80	iridescent	220	A080C0		high	Sithis is the Brotherhood's Void patron and the line ends in Hail Sithis!, so the pairing is stated; the counted main line is 13 quests plus unlimited radiant contracts, so 10 is comfortably inside.
Volkihar Crimson	7C0836	Rare	achievement	stat	Necks Bitten	10						high	Volkihar is Skyrim's own vampire clan and feeding is what the counter records, so the pairing is stated; the counter is unbounded for a vampire who feeds each night to hold off the fourth stage, so 10 is a few in-game days.
Word Wall Azure	2A63E8	Uncommon	achievement	stat	Words Of Power Learned	25	6FD8FF	iridescent	225	C0F0FF	140	medium	Strong read: word wall glyphs light up cold blue as the word is taken; Skyrim alone holds 40-odd word walls and the DLCs add more, each teaching one word, so the ceiling is well past 50 and 25 is roughly half.
Edda Parchment	E6CB87	Uncommon	bards college	quest	BardsCollegePoeticEdda							high	The quest recovers a copy of the Poetic Edda, so parchment is the retrieved object itself.
Finn's Lutewood	C9653A	Common	bards college	quest	BardsCollegeLute							high	The quest object is a lute, so lacquered lutewood is the item itself rather than an invented theme.
Pantea's Rose	E68EBA	Common	bards college	quest	BardsCollegeFlute							low	Free pick: Pantea Dryflower is the College's celebrated singer and a rose is a performer's flourish, but nothing in the source ties her or the flute to this colour.
Castle Dour Steel	46798A	Common	civil war	quest	CW00A							medium	Imperial Introductions is the audience with General Tullius inside Castle Dour; the cold steel blue is a read on that fortress. Side-locked to the Imperial fork, a Stormcloak character can never earn it.
Ice Wraith Blue	70BEE6	Uncommon	civil war	quest	CW01B							high	Joining the Stormcloaks is the ice wraith trial on Serpentstone Isle, so the creature is the quest. Side-locked to the Stormcloak fork.
Jagged Crown Gold	B59B3C	Uncommon	civil war	quest	CW02A							medium	The Imperial fork of the crown hunt; antique gold is a read on the crown's metal, which is really dragonbone with a metal band. Side-locked to the Imperial fork.
Korvanjund Rime	83C4C9	Uncommon	civil war	quest	CW02B							medium	The Stormcloak fork of the crown hunt, fought up through snowbound Korvanjund; the frost tone is a read on the approach. Side-locked to the Stormcloak fork.
Legion Scarlet	D91C16	Uncommon	civil war	quest	CW01A							high	Joining the Legion is the Imperial oath and Legion heraldry is red with a gold dragon, which the source states. Side-locked to the Imperial fork.
Ulfric's Blue	3A5C9C	Common	civil war	quest	CW00B							high	Stormcloak Introductions is the audience with Ulfric in the Palace of the Kings and Stormcloak livery is blue, both stated by the source. Side-locked to the Stormcloak fork, an Imperial character can never earn it.
Arch-Mage's Radiance	DBC2FF	Rare	college of winterhold	quest	MG08		8FC0FF	iridescent	235	E0F0FF	160	high	Completing The Eye of Magnus is what makes you Arch-Mage, so this is the questline ending and the one only an Arch-Mage can wear; note MG08 is already gated by fr:starlight, this reuses it.
Augur's Glow	4FD6C8	Uncommon	college of winterhold	quest	MG04							high	Good Intentions is the quest that sends you into the Midden to consult the Augur of Dunlain, a glowing spectral apparition; the pairing is stated by the quest itself.
Fellglow Violet	683DCC	Common	college of winterhold	quest	MG03							medium	Hitting the Books ends in Fellglow Keep against the Caller's conjurers; conjuration violet is a read on that fight, not a stated palette.
Magnus Indigo	4220C9	Uncommon	college of winterhold	quest	MG07							medium	Named for Magnus, god of magic, whose staff this quest recovers from Labyrinthian; the arcane indigo is a read, the staff prop itself is bronze and blue.
Warding Blue	9ECAFF	Common	college of winterhold	quest	MG01							medium	First Lessons is Tolfdir's ward lesson in the Hall of the Elements; wards render as pale blue light, so the hue is a strong read rather than a stated colour.
Apocrypha Ink	0E2A26	Rare	daedric prince	quest	DA04		4FBFA0	iridescent	220	6FE8C0		high	Stated by the setting: Apocrypha and the Oghma Infinium are rendered in black-green ink, which the DA04 finale shows directly; DA04 overlaps eso:artifact-hunter-amber.
Azura's Twilight	7B5CA6	Rare	daedric prince	quest	DA01		E8A8D8	iridescent	225	F0C8FF		medium	Strong read: Azura is the Prince of Dusk and Dawn, so a twilight violet is the obvious colour, though the game never states a hue; DA01 resolved as QUST "The Black Star", already claimed by eso:senche-tiger-orange and reused deliberately so Azura's own quest pays out Azura's colour.
Bloodmoon Rust	8E2B14	Rare	daedric prince	quest	DA05		D8863A	iridescent	210	F0B070		medium	Strong read: the Savior's Hide is russet leather and Hircine's hunt is bound to the blood moon, but no exact hue is stated; DA05 overlaps eso:doomcrag-verdigris.
Clavicus Gold	A67C1A	Rare	daedric prince	quest	DA03		F0D77A	nacre	235	FFF0B0		high	Stated by the reward: the Masque of Clavicus Vile is a grinning gold mask; DA03 resolved as QUST "A Daedra's Best Friend", overlapping eso:roisters-cerulean.
Coldharbour Blue	0F3550	Rare	daedric prince	quest	DA10		3A8FC0	iridescent	220	7FD0F0		medium	Strong read: Molag Bal's realm of Coldharbour is bleak cold blue in the wider series, though Skyrim only shows his shrine; DA10 is unclaimed and resolved as QUST "The House of Horrors" (the DA10FIN duplicate name was rejected in favour of the main quest record).
Dagon's Ember	D23F05	Rare	daedric prince	quest	DA07		FFB000	iridescent	235	FFD060	200	medium	Strong read: Mehrunes Dagon is destruction and Oblivion fire, so a live ember orange-red reads correctly even though Mehrunes' Razor itself is ebony; DA07 overlaps eso:daedric-red.
Jyggalag Crystal	4C7E96	Rare	daedric prince	quest	DA15		D8ECF7	iridescent	235	FFFFFF	180	low	Free pick, declared as such: Jyggalag has no Skyrim quest, so this is gated on Sheogorath's DA15 because they are the same being before and after the curse, and the crystal blue-grey of his Knights of Order is series lore rather than anything Skyrim shows.
Malacath's Ash	5C4A3C	Rare	daedric prince	quest	DA06		9A8470	nacre	195	C8B8A0		medium	Strong read: Malacath is the ash-and-pariah Prince and the orc strongholds are dust-brown, so a dusty ash-brown fits, though nothing states it; DA06 overlaps eso:anequina-sunrise.
Mephala's Web	291B3A	Rare	daedric prince	quest	DA08		6A3F8A	iridescent	215	9A6FC0		medium	Strong read: Mephala is the Webspinner and her flower is nightshade, so a violet-black web colour fits; DA08 is unclaimed, so this adds a new gate rather than reusing one.
Meridia's Radiance	F7E8B0	Rare	daedric prince	quest	DA09		FFFFFF	nacre	240	FFFFE0	255	high	Stated by the source: Meridia's beacon and Dawnbreaker both burn a golden-white light shown on screen throughout DA09; the quest already carries eso:starlight-gold and is reused here.
Namira's Pallor	9A8AA6	Rare	daedric prince	quest	DA11		5A4A50	iridescent	200	C0B0B8		medium	Strong read: Namira is the Prince of decay and her cult eats the dead, so a corpse-pale violet-grey fits the quest's tone without being stated; DA11 overlaps eso:tainted-turquoise.
Nightcaller Violet	5B1A6B	Rare	daedric prince	quest	DA16		9A3FD0	iridescent	220	C070F0		medium	Strong read: Vaermina's Nightcaller Temple and the Skull of Corruption sit in nightmare violet, though the exact hue is not stated; DA16 overlaps eso:dusky-bronze, and the name avoids colliding with the existing "Vaermina's Purple".
Peryite's Blight	6F8C1F	Rare	daedric prince	quest	DA13		C8E020	iridescent	215	E0F060		medium	Strong read: Peryite is the green-scaled Prince of pestilence and the Afflicted are visibly sickened in DA13, so a bilious olive-chartreuse fits; DA13 overlaps eso:hlaalu-gold.
Sanguine Rose	8E2350	Rare	daedric prince	quest	DA14		D8508A	nacre	220	FFA0C0		high	Stated by the reward: the Sanguine Rose is the DA14 artifact and the name is the game's own, so a deep wine-rose is the literal colour; DA14 overlaps eso:wayrest-royal-purple.
Traitor's Ebony	142B1E	Rare	daedric prince	quest	DA02		3A7A4A	iridescent	235	5FCF8A	120	high	Stated by the reward: DA02 hands over the Ebony Mail, black with a green shadow aura, and the quest itself is an act of betrayal; DA02 is already claimed by fr:oil-slick and eso:wyrd-tree-green, reused on purpose.
Wabbajack Violet	8B27C9	Rare	daedric prince	quest	DA15		20C97A	iridescent	240	FFD000	255	high	Stated by the artifact: the Wabbajack is a garish saturated purple staff visible the moment DA15 ends; the quest already carries eso:mad-gods-berry, and this reuse is the Mad God's own staff colour.
Cicero's Motley	E43042	Uncommon	dark brotherhood	quest	DB07							high	The Cure for Madness is the Cicero quest end to end, and his jester's motley is the red he wears throughout.
